"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Afghanistan","Long-term average annual precipitation in depth (mm/year)",1962,327.0,"",,1967,327.0,"",,1972,327.0,"",,1977,327.0,"",,1982,327.0,"",,1987,327.0,"",,1992,327.0,"",,1997,327.0,"",,2002,327.0,"",,2007,327.0,"",,2012,327.0,"",,2017,327.0,"",,2018,327.0,"",
"Afghanistan","Long-term average annual precipitation in volume (10^9 m3/year)",1962,213.48522,"E",,1967,213.48522,"E",,1972,213.48522,"E",,1977,213.48522,"E",,1982,213.48522,"E",,1987,213.48522,"E",,1992,213.48522,"E",,1997,213.48522,"E",,2002,213.48522,"E",,2007,213.48522,"E",,2012,213.48522,"E",,2017,213.48522,"E",,2018,213.48522,"E",
"Afghanistan","National Rainfall Index (NRI) (mm/yr)",,,"",,1967,288.52,"I",,1972,278.3,"I",,1977,301.0,"I",,1982,304.0,"I",,1987,302.15,"I",,1992,304.98,"I",,1997,233.0,"I",,2002,185.0,"I",,2007,185.0,"I",,2012,185.0,"I",,2017,185.0,"I",,2018,185.0,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Albania","Long-term average annual precipitation in depth (mm/year)",1962,1485.0,"X",,1967,1485.0,"X",,1972,1485.0,"X",,1977,1485.0,"X",,1982,1485.0,"X",,1987,1485.0,"X",,1992,1485.0,"X",,1997,1485.0,"X",,2002,1485.0,"X",,2007,1485.0,"X",,2012,1485.0,"X",,2017,1485.0,"X",,2018,1485.0,"X",
"Albania","Long-term average annual precipitation in volume (10^9 m3/year)",1962,42.69375,"E",,1967,42.69375,"E",,1972,42.69375,"E",,1977,42.69375,"E",,1982,42.69375,"E",,1987,42.69375,"E",,1992,42.69375,"E",,1997,42.69375,"E",,2002,42.69375,"E",,2007,42.69375,"E",,2012,42.69375,"E",,2017,41.17905,"E",,2018,41.17905,"E",
"Albania","National Rainfall Index (NRI) (mm/yr)",,,"",,1967,1335.25,"I",,1972,1343.8,"I",,1977,1329.6,"I",,1982,1150.0,"I",,1987,950.6,"I",,1992,946.1,"I",,1997,1084.125,"I",,2002,1136.0,"X",,2007,1136.0,"I",,2012,1136.0,"I",,2017,1136.0,"I",,2018,1136.0,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Algeria","Long-term average annual precipitation in depth (mm/year)",1962,89.0,"X",,1967,89.0,"X",,1972,89.0,"X",,1977,89.0,"X",,1982,89.0,"X",,1987,89.0,"X",,1992,89.0,"X",,1997,89.0,"X",,2002,89.0,"X",,2007,89.0,"X",,2012,89.0,"X",,2017,89.0,"X",,2018,89.0,"X",
